ano,mes,estado,cidade,zona,tipo_cliente,tecnologia,velocidade,qtd_acessos
2026,12,SP,São Paulo,Urbana,PF,Fibra,500 Mbps,10
2025,1,SP,São Paulo,Urbana,PF,Fibra,500 Mbps,5
2026,7,SP,Campinas,Urbana,PF,Fibra,500 Mbps,6
2025,11,SP,Franca,Urbana,PF,Fibra,300 Mbps,9
2025,7,SP,Campinas,Urbana,PF,Fibra,500 Mbps,5
2026,9,SP,Ribeirão Preto,Urbana,PF,Fibra,500 Mbps,2
2026,6,SP,Bauru,Urbana,PF,Fibra,1 Gbps,3
2026,1,SP,Campinas,Urbana,PF,Fibra,1 Gbps,3
2026,9,SP,Campinas,Rural,PJ,Fibra,300 Mbps,21
2025,12,SP,Ribeirão Preto,Rural,PF,Rádio,20 Mbps,6
2025,12,SP,São Paulo,Rural,PF,Rádio,20 Mbps,9
2025,11,SP,São Paulo,Rural,PF,Fibra,1 Gbps,9
2025,10,SP,Ribeirão Preto,Urbana,PJ,Fibra,500 Mbps,24
2025,11,SP,Campinas,Urbana,PF,Fibra,1 Gbps,3
2026,5,SP,São Paulo,Urbana,PF,Fibra,1 Gbps,9
2025,2,SP,Bauru,Urbana,PF,Fibra,500 Mbps,5
2025,8,SP,Bauru,Urbana,PF,Fibra,1 Gbps,6
2026,8,SP,Ribeirão Preto,Urbana,PF,Fibra,1 Gbps,6
2025,6,SP,Ribeirão Preto,Urbana,PF,Fibra,500 Mbps,6
2026,6,SP,Ribeirão Preto,Urbana,PF,Fibra,1 Gbps,1
2025,11,SP,São Paulo,Urbana,PF,Rádio,20 Mbps,2
2025,2,SP,Franca,Urbana,PJ,Fibra,500 Mbps,47
2025,8,SP,Franca,Urbana,PF,Fibra,300 Mbps,10
2025,5,SP,São Paulo,Urbana,PF,Fibra,500 Mbps,4
2025,2,SP,Bauru,Urbana,PF,Fibra,500 Mbps,10
2026,8,SP,Campinas,Rural,PF,Rádio,50 Mbps,3
2025,4,SP,Ribeirão Preto,Urbana,PF,Fibra,1 Gbps,5
2026,2,SP,Campinas,Urbana,PF,Fibra,500 Mbps,9
2026,8,SP,Ribeirão Preto,Urbana,PF,Rádio,10 Mbps,1
2026,12,SP,Campinas,Rural,PF,Fibra,500 Mbps,7
2025,9,SP,Ribeirão Preto,Rural,PF,Rádio,50 Mbps,4
2025,2,SP,Ribeirão Preto,Urbana,PF,Fibra,500 Mbps,10
2026,3,SP,Ribeirão Preto,Urbana,PF,Fibra,300 Mbps,3
2025,4,SP,Bauru,Urbana,PJ,Rádio,50 Mbps,46
2026,2,SP,Bauru,Rural,PF,Rádio,20 Mbps,7
2026,11,SP,São Paulo,Urbana,PF,Fibra,500 Mbps,4
2026,9,SP,São Paulo,Urbana,PJ,Fibra,500 Mbps,14
2025,5,SP,Bauru,Rural,PF,Rádio,20 Mbps,9
2025,3,SP,Bauru,Urbana,PJ,Fibra,500 Mbps,29
2025,5,SP,Bauru,Urbana,PF,Fibra,500 Mbps,2
2026,3,SP,Campinas,Urbana,PJ,Fibra,1 Gbps,40
2026,10,SP,Ribeirão Preto,Urbana,PF,Fibra,1 Gbps,10
2026,3,SP,Ribeirão Preto,Urbana,PF,Fibra,500 Mbps,1
2025,12,SP,São Paulo,Urbana,PJ,Fibra,500 Mbps,30
2025,4,SP,Campinas,Rural,PJ,Fibra,500 Mbps,27
2026,1,SP,São Paulo,Urbana,PJ,Fibra,500 Mbps,29
2026,6,SP,Franca,Urbana,PF,Fibra,500 Mbps,6
2026,6,SP,São Paulo,Urbana,PF,Fibra,500 Mbps,10
2025,6,SP,São Paulo,Rural,PF,Fibra,500 Mbps,9
2025,8,SP,Franca,Urbana,PF,Fibra,500 Mbps,6
2026,2,SP,Franca,Urbana,PF,Fibra,300 Mbps,5
2025,1,SP,Franca,Urbana,PJ,Fibra,300 Mbps,7
2026,9,SP,São Paulo,Urbana,PF,Fibra,500 Mbps,6
2026,2,SP,Campinas,Rural,PJ,Rádio,10 Mbps,41
2026,5,SP,Campinas,Urbana,PF,Fibra,300 Mbps,7
2026,12,SP,Bauru,Urbana,PJ,Fibra,500 Mbps,45
2025,8,SP,Franca,Urbana,PF,Fibra,300 Mbps,6
2025,3,SP,Franca,Rural,PJ,Rádio,20 Mbps,22
2025,6,SP,São Paulo,Urbana,PF,Fibra,300 Mbps,5
2025,9,SP,Ribeirão Preto,Rural,PF,Rádio,10 Mbps,1
2026,2,SP,São Paulo,Urbana,PF,Fibra,500 Mbps,10
2026,3,SP,São Paulo,Urbana,PF,Fibra,300 Mbps,6
2026,6,SP,Bauru,Urbana,PF,Rádio,10 Mbps,3
2026,1,SP,Ribeirão Preto,Urbana,PJ,Fibra,1 Gbps,11
2025,8,SP,Franca,Rural,PF,Rádio,50 Mbps,2
2026,7,SP,São Paulo,Urbana,PF,Fibra,300 Mbps,5
2026,12,SP,São Paulo,Urbana,PF,Fibra,300 Mbps,2
2025,10,SP,Ribeirão Preto,Urbana,PF,Fibra,1 Gbps,6
2025,1,SP,Bauru,Urbana,PF,Fibra,1 Gbps,6
2026,4,SP,Campinas,Urbana,PF,Fibra,1 Gbps,6
2025,9,SP,Franca,Urbana,PF,Fibra,500 Mbps,4
2025,2,SP,São Paulo,Urbana,PF,Fibra,500 Mbps,6
2025,8,SP,Bauru,Urbana,PF,Fibra,1 Gbps,3
2025,11,SP,Campinas,Urbana,PF,Fibra,1 Gbps,7
2025,8,SP,São Paulo,Rural,PF,Fibra,500 Mbps,2
2025,10,SP,Campinas,Rural,PF,Fibra,500 Mbps,5
2026,4,SP,Campinas,Rural,PF,Rádio,20 Mbps,3
2026,8,SP,Campinas,Rural,PF,Rádio,50 Mbps,8
2026,10,SP,Ribeirão Preto,Urbana,PF,Fibra,300 Mbps,10
2026,4,SP,Franca,Urbana,PF,Fibra,1 Gbps,4
2026,10,SP,São Paulo,Urbana,PF,Fibra,300 Mbps,9
2026,7,SP,Campinas,Urbana,PF,Fibra,500 Mbps,9
2026,4,SP,Campinas,Urbana,PJ,Fibra,300 Mbps,31
2025,7,SP,Ribeirão Preto,Urbana,PJ,Fibra,500 Mbps,39
2025,3,SP,Ribeirão Preto,Rural,PF,Fibra,500 Mbps,10
2026,4,SP,Bauru,Urbana,PF,Fibra,300 Mbps,4
2025,3,SP,Franca,Urbana,PF,Fibra,500 Mbps,10
2026,6,SP,Bauru,Urbana,PF,Fibra,1 Gbps,4
2025,7,SP,Campinas,Rural,PF,Rádio,50 Mbps,9
2025,7,SP,Franca,Rural,PF,Rádio,20 Mbps,4
2025,5,SP,Campinas,Urbana,PF,Fibra,500 Mbps,7
2025,1,SP,Franca,Urbana,PJ,Fibra,500 Mbps,32
2026,11,SP,Franca,Urbana,PF,Rádio,10 Mbps,8
2025,1,SP,Bauru,Urbana,PF,Fibra,1 Gbps,10
2025,8,SP,São Paulo,Rural,PF,Rádio,10 Mbps,1
2026,2,SP,Franca,Rural,PF,Fibra,300 Mbps,5
2025,5,SP,Franca,Urbana,PF,Fibra,300 Mbps,8
2025,10,SP,Franca,Urbana,PF,Fibra,1 Gbps,1
2026,10,SP,Bauru,Urbana,PF,Fibra,300 Mbps,5
2026,12,SP,São Paulo,Urbana,PF,Rádio,10 Mbps,3
2025,3,SP,Franca,Urbana,PF,Fibra,300 Mbps,3
2026,4,SP,Franca,Rural,PF,Rádio,20 Mbps,4
2025,9,SP,Bauru,Urbana,PF,Fibra,1 Gbps,7
2026,11,SP,Bauru,Urbana,PF,Fibra,300 Mbps,3
2026,12,SP,Campinas,Urbana,PF,Fibra,300 Mbps,7
2026,9,SP,Bauru,Urbana,PF,Fibra,500 Mbps,6
2025,12,SP,Ribeirão Preto,Urbana,PF,Fibra,300 Mbps,4
2025,6,SP,Ribeirão Preto,Urbana,PF,Rádio,20 Mbps,2
2026,5,SP,Ribeirão Preto,Urbana,PF,Fibra,1 Gbps,9
2026,2,SP,Campinas,Urbana,PF,Fibra,500 Mbps,1
2025,10,SP,Ribeirão Preto,Rural,PF,Rádio,10 Mbps,1
2025,7,SP,Campinas,Urbana,PF,Fibra,500 Mbps,6
2026,6,SP,Ribeirão Preto,Urbana,PF,Fibra,500 Mbps,9
2025,1,SP,São Paulo,Rural,PF,Fibra,1 Gbps,10
2025,12,SP,Franca,Urbana,PF,Rádio,20 Mbps,4
2025,2,SP,São Paulo,Urbana,PF,Fibra,1 Gbps,5
2025,9,SP,Franca,Urbana,PF,Fibra,1 Gbps,4
2026,10,SP,Franca,Urbana,PF,Fibra,300 Mbps,1
2026,4,SP,Ribeirão Preto,Urbana,PJ,Fibra,300 Mbps,27
2026,10,SP,Campinas,Urbana,PF,Fibra,500 Mbps,2
2025,8,SP,Campinas,Rural,PF,Rádio,20 Mbps,6
2025,10,SP,Bauru,Urbana,PF,Fibra,300 Mbps,3
2025,2,SP,Ribeirão Preto,Rural,PJ,Rádio,50 Mbps,33
2025,2,SP,Campinas,Urbana,PF,Fibra,500 Mbps,1
2026,5,SP,Campinas,Urbana,PF,Fibra,500 Mbps,5
2025,3,SP,Bauru,Urbana,PF,Fibra,300 Mbps,4
2026,11,SP,Ribeirão Preto,Urbana,PF,Fibra,1 Gbps,6
2025,5,SP,Franca,Urbana,PF,Fibra,300 Mbps,8
2026,12,SP,Ribeirão Preto,Rural,PF,Rádio,10 Mbps,9
2025,10,SP,Franca,Urbana,PF,Fibra,500 Mbps,10
2026,10,SP,Campinas,Rural,PF,Fibra,300 Mbps,5
2026,6,SP,Campinas,Urbana,PF,Fibra,1 Gbps,6
2025,8,SP,São Paulo,Urbana,PF,Fibra,1 Gbps,8
2025,5,SP,Bauru,Urbana,PJ,Fibra,1 Gbps,27
2025,7,SP,Bauru,Urbana,PF,Fibra,300 Mbps,10
2026,7,SP,Bauru,Urbana,PF,Fibra,500 Mbps,7
2026,10,SP,Bauru,Urbana,PF,Rádio,10 Mbps,1
2026,12,SP,Ribeirão Preto,Urbana,PF,Fibra,500 Mbps,3
2026,4,SP,Campinas,Urbana,PF,Fibra,1 Gbps,10
2025,5,SP,Ribeirão Preto,Urbana,PF,Fibra,500 Mbps,4
2026,4,SP,Ribeirão Preto,Rural,PF,Rádio,10 Mbps,10
2025,11,SP,Campinas,Urbana,PF,Fibra,300 Mbps,6
2026,7,SP,Ribeirão Preto,Urbana,PJ,Fibra,1 Gbps,27
2025,4,SP,Ribeirão Preto,Urbana,PF,Fibra,300 Mbps,10
2026,9,SP,Campinas,Urbana,PF,Fibra,1 Gbps,10
2026,10,SP,Ribeirão Preto,Urbana,PF,Fibra,300 Mbps,3
2026,2,SP,Campinas,Urbana,PJ,Fibra,1 Gbps,29
2025,12,SP,Franca,Urbana,PF,Fibra,300 Mbps,8
2026,8,SP,Franca,Urbana,PF,Fibra,1 Gbps,1
2026,8,SP,Ribeirão Preto,Urbana,PF,Fibra,1 Gbps,5
2025,1,SP,Bauru,Urbana,PF,Fibra,1 Gbps,6
2025,8,SP,São Paulo,Rural,PF,Fibra,300 Mbps,2
2025,5,SP,Campinas,Rural,PF,Rádio,20 Mbps,10
2026,12,SP,Campinas,Urbana,PJ,Fibra,1 Gbps,8
2026,12,SP,Bauru,Urbana,PF,Fibra,300 Mbps,1
2025,12,SP,Campinas,Rural,PF,Rádio,20 Mbps,1
2025,1,SP,Campinas,Urbana,PF,Fibra,1 Gbps,4
2026,6,SP,Campinas,Urbana,PF,Fibra,1 Gbps,7
2025,3,SP,Bauru,Urbana,PF,Fibra,1 Gbps,6
2025,5,SP,Bauru,Urbana,PF,Fibra,1 Gbps,7
2026,8,SP,São Paulo,Urbana,PJ,Rádio,50 Mbps,43
2025,6,SP,São Paulo,Urbana,PF,Fibra,300 Mbps,6
2025,11,SP,São Paulo,Urbana,PF,Fibra,500 Mbps,8
2026,1,SP,São Paulo,Urbana,PF,Fibra,300 Mbps,1
2025,2,SP,Franca,Urbana,PF,Fibra,300 Mbps,8
2026,7,SP,Bauru,Urbana,PF,Fibra,500 Mbps,1
2026,1,SP,Bauru,Rural,PF,Rádio,50 Mbps,2
2025,10,SP,Franca,Urbana,PF,Fibra,300 Mbps,7
2026,12,SP,Ribeirão Preto,Urbana,PJ,Fibra,300 Mbps,50
2026,1,SP,Franca,Urbana,PJ,Fibra,1 Gbps,37
2026,6,SP,São Paulo,Rural,PF,Rádio,50 Mbps,1
2026,4,SP,Bauru,Rural,PF,Rádio,50 Mbps,10
2026,6,SP,Ribeirão Preto,Rural,PJ,Rádio,50 Mbps,8
2026,8,SP,Ribeirão Preto,Rural,PF,Rádio,50 Mbps,7
2026,2,SP,São Paulo,Urbana,PF,Fibra,300 Mbps,10
2026,9,SP,Franca,Urbana,PF,Fibra,300 Mbps,7
2026,5,SP,Ribeirão Preto,Urbana,PF,Fibra,500 Mbps,3
2025,6,SP,Bauru,Rural,PF,Fibra,300 Mbps,7
2026,12,SP,Campinas,Urbana,PF,Rádio,50 Mbps,8
2025,8,SP,Campinas,Urbana,PF,Fibra,1 Gbps,9
2026,8,SP,Franca,Urbana,PF,Fibra,300 Mbps,4
2025,4,SP,Franca,Urbana,PF,Rádio,20 Mbps,1
2025,9,SP,São Paulo,Urbana,PJ,Fibra,300 Mbps,36
2025,9,SP,Campinas,Rural,PF,Rádio,50 Mbps,1
2025,1,SP,Campinas,Urbana,PF,Fibra,500 Mbps,10
2025,8,SP,Ribeirão Preto,Urbana,PF,Fibra,300 Mbps,7
2025,1,SP,São Paulo,Urbana,PF,Fibra,500 Mbps,5
2026,12,SP,Bauru,Urbana,PF,Fibra,300 Mbps,8
2025,11,SP,Campinas,Urbana,PF,Fibra,500 Mbps,10
2026,12,SP,São Paulo,Urbana,PF,Fibra,500 Mbps,1
2025,12,SP,São Paulo,Urbana,PF,Fibra,500 Mbps,6
2025,9,SP,Bauru,Urbana,PF,Fibra,500 Mbps,3
2025,11,SP,Ribeirão Preto,Urbana,PF,Fibra,500 Mbps,5
2025,7,SP,Bauru,Urbana,PF,Fibra,1 Gbps,4
2025,7,SP,Bauru,Urbana,PF,Rádio,10 Mbps,5
2026,10,SP,Franca,Urbana,PF,Fibra,1 Gbps,3
2026,11,SP,Franca,Urbana,PF,Fibra,300 Mbps,2
2025,2,SP,São Paulo,Urbana,PF,Fibra,1 Gbps,3
2025,7,SP,Campinas,Urbana,PF,Fibra,300 Mbps,3
2026,1,SP,Ribeirão Preto,Urbana,PF,Fibra,1 Gbps,10
2026,10,SP,Bauru,Urbana,PF,Fibra,300 Mbps,9
2025,5,SP,São Paulo,Urbana,PF,Fibra,1 Gbps,6
2026,8,SP,Campinas,Urbana,PF,Fibra,500 Mbps,3
2026,5,SP,Bauru,Urbana,PF,Fibra,300 Mbps,9
2025,9,SP,Ribeirão Preto,Rural,PF,Fibra,300 Mbps,10
2025,9,SP,São Paulo,Urbana,PJ,Fibra,300 Mbps,26
2026,9,SP,Franca,Urbana,PF,Fibra,500 Mbps,2
2025,6,SP,Franca,Urbana,PF,Fibra,1 Gbps,2
2025,3,SP,Franca,Urbana,PF,Rádio,20 Mbps,10
2026,7,SP,Franca,Urbana,PF,Fibra,300 Mbps,6
2026,6,SP,Campinas,Urbana,PF,Fibra,1 Gbps,2
2026,1,SP,São Paulo,Urbana,PF,Fibra,500 Mbps,7
2026,12,SP,Franca,Rural,PF,Fibra,1 Gbps,1
2025,10,SP,Bauru,Urbana,PF,Fibra,300 Mbps,3
2026,9,SP,Ribeirão Preto,Urbana,PF,Fibra,300 Mbps,1
2025,7,SP,Franca,Urbana,PF,Fibra,500 Mbps,9
2026,2,SP,Ribeirão Preto,Urbana,PF,Fibra,500 Mbps,10
2025,1,SP,Campinas,Urbana,PF,Rádio,50 Mbps,1
2025,8,SP,Ribeirão Preto,Urbana,PF,Fibra,300 Mbps,2
2025,6,SP,Franca,Urbana,PF,Fibra,300 Mbps,4
2025,3,SP,Ribeirão Preto,Urbana,PJ,Fibra,300 Mbps,5
2025,5,SP,Campinas,Urbana,PF,Fibra,500 Mbps,5
2026,12,SP,São Paulo,Urbana,PF,Fibra,500 Mbps,9
2026,7,SP,Ribeirão Preto,Rural,PF,Rádio,20 Mbps,10
2026,4,SP,Bauru,Rural,PF,Fibra,300 Mbps,10
2026,4,SP,Ribeirão Preto,Urbana,PF,Fibra,300 Mbps,9
2026,11,SP,Ribeirão Preto,Rural,PF,Rádio,10 Mbps,4
2026,2,SP,Campinas,Urbana,PJ,Rádio,10 Mbps,39
2026,10,SP,Campinas,Urbana,PF,Fibra,500 Mbps,4
2025,1,SP,Ribeirão Preto,Urbana,PJ,Fibra,500 Mbps,27
2026,12,SP,Ribeirão Preto,Urbana,PF,Rádio,20 Mbps,1
2025,1,SP,Campinas,Urbana,PF,Fibra,1 Gbps,6
2025,1,SP,São Paulo,Urbana,PF,Fibra,500 Mbps,8
2025,3,SP,Bauru,Urbana,PF,Fibra,300 Mbps,5
2025,1,SP,Campinas,Urbana,PF,Fibra,500 Mbps,3
2025,1,SP,Ribeirão Preto,Urbana,PF,Fibra,1 Gbps,9
2026,3,SP,Franca,Rural,PF,Rádio,20 Mbps,4
2025,8,SP,Bauru,Urbana,PF,Fibra,500 Mbps,8
2025,9,SP,Franca,Urbana,PJ,Fibra,300 Mbps,22
